x,y,z,Bx,By,Bz
-250.0,-250.0,-20.0,-0.01333253,-0.0137922,0.0556716
-250.0,-250.0,-18.0,-0.0120520,-0.01246676,0.0561964
-250.0,-250.0,-16.0,-0.0107554,-0.011124,0.0566706
-250.0,-250.0,-14.0,-0.0094442,-0.00976803,0.0570928
-250.0,-250.0,-12.0,-0.0081199,-0.008397,0.0574616
-250.0,-250.0,-10.0,-0.0067842,-0.00701628,0.0577757
-250.0,-250.0,-8.0,-0.0054390,-0.005624,0.0580342
-250.0,-250.0,-6.0,-0.0040861,-0.00422562,0.0582361
-250.0,-250.0,-4.0,-0.0027273,-0.002820,0.0583809
-250.0,-250.0,-2.0,-0.0013646,-0.00141120,0.0584679
-250.0,-250.0,0.0,-0.00000000,-0.000000,0.0584970
-250.0,-250.0,2.0,0.0013646,0.00141120,0.0584679
-250.0,-250.0,4.0,0.0027273,0.002820,0.0583809
-250.0,-250.0,6.0,0.0040861,0.00422562,0.0582361
-250.0,-250.0,8.0,0.0054390,0.005624,0.0580342
-250.0,-250.0,10.0,0.0067842,0.00701628,0.0577757
-250.0,-250.0,12.0,0.0081199,0.008397,0.0574616
-250.0,-250.0,14.0,0.0094442,0.00976803,0.0570928
-250.0,-250.0,16.0,0.0107554,0.011124,0.0566706
-250.0,-250.0,18.0,0.0120520,0.01246676,0.0561964
-250.0,-250.0,20.0,0.0133325,0.013792,0.0556716
-250.0,-240.0,-20.0,-0.0154564,-0.01522268,0.0625644
-250.0,-240.0,-18.0,-0.0139815,-0.013769,0.0631866
-250.0,-240.0,-16.0,-0.0124850,-0.01229474,0.0637498
-250.0,-240.0,-14.0,-0.0109690,-0.010801,0.0642520
-250.0,-240.0,-12.0,-0.0094354,-0.00929063,0.0646912
-250.0,-240.0,-10.0,-0.0078866,-0.007765,0.0650657
-250.0,-240.0,-8.0,-0.0063249,-0.00622746,0.0653742
-250.0,-240.0,-6.0,-0.0047529,-0.004679,0.0656154
-250.0,-240.0,-4.0,-0.0031730,-0.00312395,0.0657884
-250.0,-240.0,-2.0,-0.0015878,-0.001563,0.0658925
-250.0,-240.0,0.0,-0.00000000,-0.0000000,0.0659272
-250.0,-240.0,2.0,0.0015878,0.001563,0.0658925
-250.0,-240.0,4.0,0.0031730,0.00312395,0.0657884
-250.0,-240.0,6.0,0.0047529,0.004679,0.0656154
-250.0,-240.0,8.0,0.0063249,0.00622746,0.0653742
-250.0,-240.0,10.0,0.0078866,0.007765,0.0650657
-250.0,-240.0,12.0,0.0094354,0.00929063,0.0646912
-250.0,-240.0,14.0,0.0109690,0.010801,0.0642520
-250.0,-240.0,16.0,0.0124850,0.01229474,0.0637498
-250.0,-240.0,18.0,0.0139815,0.01376922,0.0631866
